col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,,,,,,,,,,,
2.66,-2.22,0,0,2811.64,1008.31,63.15,67.09,3.27,-42.45,378.53,-828.6,318.69,2811.64,1008.29,-683.16,-230.85,31.92,-68.94,3126.47,932.74,-1508.01
-6.63,2.38,0,0,-1604.15,-2746.4,65.63,60.89,5.97,61.09,-248.4,273.17,-604.29,-1604.15,-2746.4,-464.99,401.14,-14.81,174.83,-2228.44,-502.69,402.28
-3.13,1.17,0,0,-2293.04,-2282.74,65.88,64.96,2.93,389.28,-54.98,1511.6,-636.99,-2293.04,-2282.74,-344.37,160.59,-38.59,-852.08,-1907.83,-1729.19,808.8
0.22,-2.69,0,0,-2418.18,222.44,67.5,64,3.19,-245.39,54.64,-612.5,-210.42,-2418.18,222.44,-520.19,-248.03,-3.21,-1680.46,-397.68,-1209.4,-626.66
-4.8,-1.3,0,0,-3676.42,-1147.34,65.2,63,3.24,245.52,-73.61,2400.9,192.77,-3676.42,-1147.34,-767.13,53.45,-52.96,-2507.07,-1620.72,-2679.86,692.29
4.05,-1.66,0,0,2303.65,4249.1,55.69,62.67,3.75,-342.83,-68.21,279.89,799.65,2303.66,4249.1,1572.38,1731.77,6.35,1985.73,1028.07,1268.81,2364.09
-5.38,-0.26,0,0,-3604.54,-2083.32,64.46,64.79,3.12,1284.17,-1258.02,3142.95,-315.23,-3604.54,-2083.32,-900.7,197.33,-1.21,-2448.25,-2173.78,-2703.23,673.18
-4.53,-2.92,0,0,-4352.91,-231.85,64.44,64.19,3.12,137.05,171.65,1796.54,267.28,-4352.91,-231.85,-824.32,70.9,-61.75,-2769.43,-1703,-2457.88,579.31
1.55,-2.25,0,0,-559.22,2048.59,62.48,62.83,3.2,-58.83,-318.65,17.18,-399.91,-559.23,2048.59,-277.01,524.27,-15.32,-345.79,395.83,-1517.8,692.77
5.2,-6.86,0,0,-2204.13,4863.43,66.32,63.96,2.69,-339.15,-33.38,316.47,1020.28,-2204.14,4863.43,-1258.26,172.1,222.09,-2717.22,2000.21,-3199.89,481.14
-5.89,-1.33,0,0,-4339.94,-517.95,66.94,64.62,3.12,1204.81,378.15,1089.17,-360.49,-4339.94,-517.95,-370.49,25.44,-19.56,-3151,-1609.1,-2093.65,-211.28
-4.57,-3.09,0,0,-4514.77,354.91,63.38,64,4.22,-33.15,-254.33,2194.73,357.28,-4514.77,354.91,-1102.22,16.3,-30.48,-2986.25,-1094.19,-3190.64,707.59
0.2,-2.94,0,0,-2207.75,1319.61,63.81,66.07,2.76,417.21,-69.7,1942.7,-490.24,-2207.75,1319.6,-1051.93,14.27,9.59,-1578.57,703.29,-2172.06,-774.85
-3.62,0.24,0,0,-1836.43,-3028.06,64.69,67.97,2.67,34.37,43.04,546.49,-1749.13,-1836.42,-3028.05,-833.03,-251.52,3.41,-1615.77,-1704.08,-2124.58,-243.58
-0.54,-1.47,0,0,-2611.04,-798.92,66.12,63.04,2.55,-253.89,-25.51,506.31,-154.02,-2611.04,-798.93,-804.24,-147.94,-8.42,-1801.58,-540.23,-1624.44,-390.95
-4.87,-1.17,0,0,-3258.74,-703.97,66,62.53,3.56,414.87,-609.21,1033.99,325.69,-3258.74,-703.96,-167.31,538.72,17.17,-1985.83,-1845.71,-1716.35,770.67
4.69,3.91,0,0,6953.12,-1591.38,61.36,64.64,3.4,-346.1,-36.53,46.3,-1971.44,6953.12,-1591.38,-991.43,539.72,128.98,3521.56,1699.81,-407.28,3613
-2.42,1.02,0,0,-1243.13,-2771.93,62.41,63.27,3.28,69.25,-2.78,309.36,-954.22,-1243.13,-2771.93,-767.62,355.04,-6.07,427.35,-2428.08,-877.35,905.6
-1.5,-4.78,0,0,-3744.34,1705.98,66.23,64.08,2.12,-222.93,80.85,-547.42,21.2,-3744.34,1705.98,-1034.97,-65.25,157.31,-3069.2,83.18,-3175.31,246.53
-2.79,1.25,0,0,-1291.9,-1824.65,61.33,68.93,2.63,45.49,-283.01,-310.35,-460.02,-1291.9,-1824.64,-717.82,161.43,-42.17,-840.67,-1503.44,-731.47,-820.66
-6.15,1.36,0,0,-3189.56,-2487.33,65.6,64.72,2.69,504.51,-687.02,2663.96,91.8,-3189.56,-2487.33,-592.35,811.58,45.67,-1354.42,-2888.23,-1722.84,1911.98
4.94,-0.85,0,0,1313.14,4221.19,65.14,65.82,3.2,-274.57,46.88,1053.78,260.06,1313.14,4221.19,-1091.41,114.69,-15.74,-730.41,2927.1,-1987.12,514.5
3.01,5.3,0,0,7047.65,3485.59,64.31,68.9,2.93,-351.3,-55.07,757.21,-463.77,7047.65,3485.58,-1198.8,383.86,93.15,2164.83,3850.19,-1835.28,2607.69
-2.09,-0.16,0,0,-537.97,-713.47,59.72,63.72,3.05,-313.44,35.45,-14.97,-571.43,-537.97,-713.47,-698.48,293.76,25.86,-86.86,-616.85,-486.26,-308.68
-3.34,-1.11,0,0,-2397.89,-1739.62,64.78,60.83,3.69,103.23,-267.48,-593.25,-222.33,-2397.89,-1739.61,21.15,-352.02,-62.17,-1366.65,-1945.82,-226.05,-919.12
-3.08,1.8,0,0,-1663.26,-2868.18,64.58,68.55,2.44,-220.55,-9.74,746.45,-990.95,-1663.26,-2868.17,-667.27,14.27,-20.48,-1488.41,-1694.33,-1831.89,-150.12
-6.01,-0.49,0,0,-3740.27,-1276.25,64.82,63.68,3.07,778.25,-476.94,1115.47,394.63,-3740.27,-1276.25,-232.54,323.4,31.68,-2365.71,-2381.56,-1334.23,281.26
-5.52,-1.23,0,0,-3733.06,-920.25,65.18,66.47,3.83,388.76,-261.47,978.61,22.3,-3733.06,-920.25,-926.15,-56.72,-68.54,-2827.55,-1302.29,-2234.86,-706.2
-0.57,-6.25,0,0,-4240.29,2930.57,63.81,65.12,1.98,-322.06,-28.16,1674.75,2562.12,-4240.28,2930.57,-1308.04,196.69,187.18,-3616.69,1053.91,-3856.43,1668.49
0.07,-6.06,0,0,-4106.92,3127.71,62.95,65.2,2.33,-316.33,13.35,362,1017.86,-4106.92,3127.71,-1213.77,3.67,124.12,-3983.67,1142.74,-3448.93,-181.68
-3.27,-2.46,0,0,-2912.99,-1665.21,61.87,63.47,4.76,80.86,-115.52,-209.26,216.93,-2912.99,-1665.21,268.56,-247.23,-27.52,-1804.41,-2035.8,-681.53,-466.59
-6.11,-0.76,0,0,-2965.06,-2691.65,65.14,63.75,2.72,1151.08,883.9,1384.03,-868.87,-2965.06,-2691.65,-432.53,410.07,-73.67,-1454.86,-3222.19,-1107.6,726.56
